frame,cog_tiles,veg_tiles,pct_cogongrass
DJI_20260606134535_0717_D,0,48,0.0
DJI_20260606134537_0718_D,0,48,0.0
DJI_20260606134539_0719_D,0,48,0.0
DJI_20260606134541_0720_D,0,48,0.0
DJI_20260606134542_0721_D,0,48,0.0
DJI_20260606134545_0722_D,0,48,0.0
DJI_20260606134547_0723_D,0,48,0.0
DJI_20260606134549_0724_D,0,48,0.0
DJI_20260606134551_0725_D,0,48,0.0
DJI_20260606134553_0726_D,0,48,0.0
DJI_20260606134703_0727_D,0,48,0.0
DJI_20260606134706_0728_D,0,48,0.0
DJI_20260606134708_0729_D,0,48,0.0
DJI_20260606134709_0730_D,0,48,0.0
DJI_20260606134713_0732_D,0,48,0.0
DJI_20260606134715_0733_D,0,48,0.0
DJI_20260606134717_0734_D,0,48,0.0
DJI_20260606134719_0735_D,0,48,0.0
DJI_20260606134721_0736_D,0,48,0.0
DJI_20260606134723_0737_D,0,48,0.0
DJI_20260606134724_0738_D,0,48,0.0
DJI_20260606134728_0739_D,0,48,0.0
DJI_20260606134729_0740_D,0,48,0.0
DJI_20260606134731_0741_D,0,48,0.0
DJI_20260606134733_0742_D,0,48,0.0
DJI_20260606134739_0745_D,0,44,0.0
DJI_20260606134742_0746_D,0,46,0.0
DJI_20260606134757_0752_D,0,48,0.0
DJI_20260606134759_0753_D,0,48,0.0
DJI_20260606134802_0754_D,0,46,0.0
DJI_20260606134805_0755_D,0,40,0.0
DJI_20260606134807_0756_D,0,33,0.0
DJI_20260606134809_0757_D,0,36,0.0
DJI_20260606134810_0758_D,0,32,0.0
DJI_20260606134813_0759_D,0,27,0.0
DJI_20260606134817_0760_D,0,35,0.0
DJI_20260606134833_0765_D,0,47,0.0
DJI_20260606134837_0766_D,0,48,0.0
DJI_20260606134840_0767_D,0,48,0.0
DJI_20260606134847_0768_D,0,48,0.0
DJI_20260606134849_0769_D,0,48,0.0
DJI_20260606134853_0771_D,0,48,0.0
DJI_20260606134855_0772_D,0,48,0.0
DJI_20260606134859_0773_D,0,48,0.0
DJI_20260606134901_0774_D,0,48,0.0
DJI_20260606134904_0775_D,0,48,0.0
DJI_20260606134908_0776_D,0,48,0.0
DJI_20260606134915_0777_D,0,48,0.0
DJI_20260606134917_0778_D,0,48,0.0
DJI_20260606154403_0780_D,0,48,0.0
DJI_20260606154418_0781_D,0,48,0.0
DJI_20260606154433_0782_D,0,48,0.0
DJI_20260606154436_0783_D,0,48,0.0
DJI_20260606154437_0784_D,0,48,0.0
DJI_20260606154439_0785_D,0,48,0.0
DJI_20260606154448_0786_D,0,48,0.0
DJI_20260606154450_0787_D,0,48,0.0
DJI_20260606154454_0788_D,0,48,0.0
DJI_20260606154456_0789_D,0,48,0.0
DJI_20260606154458_0790_D,0,48,0.0
DJI_20260606154501_0791_D,0,48,0.0
DJI_20260606154503_0792_D,0,48,0.0
DJI_20260606154505_0793_D,0,48,0.0
DJI_20260606154507_0794_D,0,48,0.0
DJI_20260606154508_0795_D,0,48,0.0
DJI_20260606154510_0796_D,0,48,0.0
DJI_20260606154512_0797_D,0,48,0.0
DJI_20260606154515_0799_D,0,48,0.0
DJI_20260606154517_0800_D,0,48,0.0
DJI_20260606154519_0801_D,0,48,0.0
DJI_20260606154520_0802_D,0,48,0.0
DJI_20260606154530_0803_D,0,48,0.0
DJI_20260606154532_0804_D,0,48,0.0
DJI_20260606154534_0805_D,0,48,0.0
DJI_20260606154535_0806_D,0,48,0.0
DJI_20260606154540_0808_D,0,48,0.0
DJI_20260606154542_0809_D,0,48,0.0
DJI_20260606154557_0810_D,0,48,0.0
DJI_20260606154559_0811_D,0,48,0.0
DJI_20260606154602_0812_D,0,48,0.0
DJI_20260606154604_0813_D,0,48,0.0
DJI_20260606154926_0814_D,0,48,0.0
DJI_20260606154929_0815_D,0,48,0.0
DJI_20260606154933_0816_D,0,48,0.0
DJI_20260606155010_0819_D,0,48,0.0
DJI_20260606155502_0820_D,0,30,0.0
